Flock ID,Species
8,Red Firefinch
10,Hurracurra Bird
15,Rusty Goldhammer
16,Medieval Bluetit
21,Medieval Bluetit
25,Hurracurra Bird
38,Sticky Wolfthroat
42,Hurracurra Bird
45,Red Firefinch
48,Sticky Wolfthroat
69,Hurracurra Bird
70,Hurracurra Bird
78,Hurracurra Bird
85,Hurracurra Bird
87,Sticky Wolfthroat
101,Rusty Goldhammer
108,Medieval Bluetit
113,Hurracurra Bird
121,Hurracurra Bird
126,Red Firefinch
128,Red Firefinch
130,Hurracurra Bird
131,Medieval Bluetit
135,Red Firefinch
136,Sticky Wolfthroat
138,Sticky Wolfthroat
143,Sticky Wolfthroat
154,Rusty Goldhammer
158,Red Firefinch
159,Hurracurra Bird
165,Sticky Wolfthroat
166,Hurracurra Bird
168,Medieval Bluetit
170,Hurracurra Bird
183,Hurracurra Bird
184,Medieval Bluetit
186,Rusty Goldhammer
194,Red Firefinch
202,Sticky Wolfthroat
204,Hurracurra Bird
212,Sticky Wolfthroat
213,Red Firefinch
220,Sticky Wolfthroat
221,Rusty Goldhammer
225,Rusty Goldhammer
236,Flanking Blackfinch
238,Hurracurra Bird
241,Red Firefinch
244,Hurracurra Bird
248,Medieval Bluetit
250,Medieval Bluetit
251,Rusty Goldhammer
259,Hurracurra Bird
261,Sticky Wolfthroat
265,Medieval Bluetit
269,Hurracurra Bird
270,Medieval Bluetit
284,Medieval Bluetit
286,Medieval Bluetit
289,Sticky Wolfthroat
293,Rusty Goldhammer
298,Sticky Wolfthroat
302,Red Firefinch
308,Rusty Goldhammer
311,Rusty Goldhammer
336,Rusty Goldhammer
339,Sticky Wolfthroat
350,Sticky Wolfthroat
352,Hurracurra Bird
353,Medieval Bluetit
354,Red Firefinch
356,Red Firefinch
