Day,Top 50 Arrivals BOPs
731,381 2360 1534 1450 1259 533 882 194 1034 721 1431 2236 516 1199 2165 697 863 1722 2292 1378 1214 1768 816 698 417 1308 1480 808 2029 13 2241 725 300 1296 1369 255 2356 416 1576 1329 643 429 1342 1758 1657 201 899 386 1555 2470
732,381 1534 1259 882 2360 533 194 1450 1034 1431 516 721 1199 697 863 2236 2165 1722 1378 2292 1768 816 698 1214 1308 417 1480 808 2029 2241 300 1296 725 1369 13 255 2356 1576 416 1342 1329 1758 429 1657 643 201 899 386 1555 2470
733,381 1534 882 1259 1034 533 194 1768 1308 2360 1450 1480 697 516 1199 1378 863 2165 1722 816 2292 1431 721 698 808 417 1214 2236 899 255 2029 1296 2356 386 201 2241 1576 725 1369 1329 643 1342 416 535 13 2260 575 300 348 1743
734,381 2360 1534 1259 882 533 194 1034 1768 1450 1308 2165 1480 1722 721 535 575 348 2029 2236 1743 1431 2260 1832 358 480 1128 2277 1199 516 643 899 1041 697 863 725 2292 386 1144 808 272 1741 1766 201 1417 13 1695 1296 1214 417
735,381 2360 1534 1259 882 533 194 1034 1768 1450 2165 1308 1480 1722 721 535 575 1743 348 2029 2236 2260 1832 358 480 1128 2277 899 1199 1431 516 643 2292 1041 863 725 386 697 808 13 1741 201 1766 1144 272 1342 1417 1695 1630 1296
736,381 1534 2360 882 1259 533 194 1034 1768 1450 2165 575 1308 1480 1722 721 535 1743 2029 2260 348 2236 358 480 1832 1128 2277 1199 516 899 643 2292 1431 863 1041 725 386 808 13 201 1741 1766 697 1342 1144 1630 1695 1417 1296 272
737,381 1534 2360 1259 882 533 194 1034 1768 1450 575 535 2165 1722 1308 1480 721 2029 1743 2260 348 358 2236 1832 1128 480 1199 2277 516 643 863 899 2292 1431 1041 725 13 386 808 1695 1741 201 1630 1342 1766 1214 1144 44 697 1296
738,381 1534 2360 1259 882 533 194 1034 1768 575 1450 535 2165 1722 721 1480 1308 1743 2029 358 2260 348 2236 480 1128 1199 1832 516 899 643 2277 2292 1041 863 13 725 1695 1214 386 1431 808 1630 1342 1741 201 1766 1144 44 1296 272
739,381 1534 1259 882 194 1034 2360 533 1450 721 516 1199 863 2165 1722 2292 2029 1214 697 1296 1768 417 2236 1378 1431 416 13 643 1555 1342 725 1369 300 1576 1695 1630 684 698 2241 44 1329 1480 816 783 1308 650 808 848 2171 1657
740,381 1259 1534 194 882 1034 2360 533 1450 721 2165 516 863 1722 1199 2029 2292 1214 1296 2236 417 416 643 697 13 1342 1431 1695 1369 1555 725 1630 1576 300 1378 684 44 1329 698 2241 2468 1134 650 2008 783 2171 848 1768 816 726
741,1259 1534 381 194 882 1034 2360 533 1450 721 2165 516 863 1214 1722 2029 2292 1199 1296 416 1369 417 2236 1555 1342 643 1695 2468 13 1431 1630 725 1576 44 684 726 1378 697 2171 300 2241 650 1329 2008 783 698 848 1134 565 103
742,1259 1534 882 194 381 1034 2360 1450 721 533 2165 863 516 1722 1214 2029 2292 1296 1199 1369 416 417 643 2236 13 1555 2468 1342 1695 725 565 1630 684 726 1431 1576 44 650 2171 1378 910 300 848 2008 1134 2241 697 1329 103 783
743,1259 1534 882 194 381 1034 2360 863 721 1450 2165 1214 1722 516 2029 2292 533 1296 416 1369 565 1199 417 1555 2468 643 726 2236 13 725 650 1342 1695 1630 684 300 1431 1576 44 910 2008 2171 697 1378 783 1134 848 429 103 2241
744,1534 1259 194 381 882 2360 1034 2165 863 721 1450 565 516 1214 1722 2029 2292 416 2468 1369 533 1199 1296 1555 417 726 697 13 2236 643 650 684 300 1342 725 1695 1630 910 44 2171 1431 1576 2008 783 429 70 1134 2026 103 2335
745,1259 1534 194 381 882 2360 1034 863 2165 565 721 1450 516 1214 1722 2029 2468 1369 2292 416 1296 1199 533 1555 697 417 726 2236 650 643 13 300 684 725 910 1342 1695 841 2171 44 1630 2008 1431 1576 70 103 429 2241 2026 783
746,194 1259 882 381 1534 2360 565 863 2165 721 1450 516 1214 2468 1722 2029 416 1034 2292 1369 1199 1555 1296 697 300 417 2236 841 13 650 643 70 684 910 1342 726 1630 1695 725 2008 1576 44 2171 533 1134 103 1431 2026 2241 816
747,1259 381 2360 882 194 863 1534 2165 1034 721 2029 1450 565 1214 1722 516 1369 1555 416 2292 13 2236 533 697 2468 1199 1695 725 2008 1630 910 643 684 44 841 1296 816 1431 1342 417 1576 848 2171 255 300 103 2026 650 70 2241
748,1259 381 2360 863 882 194 1534 2165 1034 721 1450 2029 1214 1722 565 516 1369 416 1555 2292 13 2236 533 2468 697 910 1199 2008 1695 1296 725 1630 1342 643 684 841 44 417 329 816 1431 1576 2171 848 255 1564 2026 300 650 103
749,2360 1259 2165 381 863 882 565 721 1450 2029 1722 194 516 1534 1214 2292 1199 697 1369 416 2468 1034 643 13 841 1555 910 816 2236 1296 300 329 650 1695 1630 2241 2008 1342 725 1134 417 1564 684 44 255 1431 2356 808 70 103
750,2360 2165 863 1259 381 721 565 2029 1450 1722 882 516 1214 2292 1199 194 416 697 1369 2468 1534 329 841 910 1564 643 1296 13 1555 816 2236 2008 1034 650 300 1630 2241 1695 725 1342 1134 808 417 2171 684 44 1431 255 2356 70
751,2360 2165 863 721 2029 1450 565 1722 516 1214 381 2292 2468 1199 416 1259 1369 697 882 2008 194 329 1296 910 643 1564 1534 841 13 1555 2236 816 650 300 1695 725 1342 2241 1630 417 684 1134 808 1034 1431 2026 44 2171 255 1576
752,2360 2165 863 2029 1722 721 1450 565 1214 516 2008 2292 2468 416 1369 1199 910 381 697 1259 329 1564 643 1296 13 841 882 1695 1555 194 650 2236 300 684 725 1342 1134 417 1630 816 1534 2241 808 2171 1431 44 1034 2026 1576 255
753,2360 2165 1722 721 2029 863 1450 565 1214 516 2008 2292 2468 416 1369 910 643 1199 13 381 697 1296 329 1564 841 1695 1555 725 1630 1259 650 684 2236 1342 1134 300 2171 417 2241 2026 44 882 816 1431 103 808 848 1576 255 2356
754,2360 2165 2029 721 1722 863 1450 1214 516 2468 565 2008 910 1369 2292 416 643 13 1199 329 1296 1564 697 841 1555 725 1630 381 1695 2026 684 2236 650 1342 1134 300 417 2171 2241 1431 44 1576 848 103 1698 1259 808 70 816 194
755,2360 2165 2029 1722 721 863 1450 2468 516 1214 565 2008 2292 910 643 1369 13 416 329 2026 1555 1564 1296 841 1199 1134 1695 725 1630 2236 697 417 381 1342 650 684 300 1259 2171 1698 44 1431 1576 194 1534 848 2241 816 103 1034
756,2360 2165 2029 1722 721 1450 863 516 2468 1214 565 2008 2292 643 910 13 1369 416 329 841 1564 2026 1555 1296 1134 381 1342 1199 1695 725 2236 417 1630 1259 1534 2171 650 684 300 1576 1431 1698 44 697 194 848 882 1034 2241 255
757,2360 2165 1722 721 2029 516 863 1214 1450 2468 643 2292 2008 910 13 416 1369 565 329 841 2026 1296 1555 1564 1199 1134 2236 1695 725 1342 1630 650 417 2171 300 1431 684 381 1576 1259 44 1534 1698 848 697 194 2254 882 1034 2327
758,2360 2165 1722 2029 721 516 1214 1450 863 2468 643 2008 2292 910 13 416 1369 329 1564 841 2026 1296 1199 2236 1555 1695 565 725 1134 1342 1431 1630 381 1576 417 2171 300 684 650 44 1259 1534 848 1698 697 194 882 2254 816 1034
759,2360 2165 1722 2029 721 1214 516 1450 2468 643 2008 2292 13 863 910 416 1369 329 1564 841 2236 1199 1296 1555 2026 725 1695 1342 1134 1431 565 381 1630 1576 300 417 2171 684 1259 650 44 882 194 1534 1698 848 697 2254 2241 1053
760,2360 2165 1722 2029 721 1214 516 1450 2468 643 2292 13 2008 1564 863 910 329 1369 841 2236 416 725 1695 1199 1555 1431 1342 1630 2026 1296 1576 381 300 1134 684 417 2171 565 194 1534 44 882 1259 848 1698 650 697 2254 1034 1053
